;Consciente;DistracaoApp;SomCarro;DirecaoCarro;Percepcao
338;Consciente;Nao;Nao;Atras;Precipitado
339;Consciente;Nao;Sim;Frente;Esperado
340;Consciente;Nao;Nao;Frente;Esperado
341;Consciente;Nao;Sim;Frente;Esperado
342;Consciente;Nao;Nao;Esquerda;Esperado
343;Consciente;Nao;Sim;Esquerda;Precipitado
344;Consciente;Nao;Nao;Direita;Esperado
345;Consciente;Nao;Nao;Direita;Precipitado
346;Consciente;Nao;Sim;Direita;Precipitado
347;Consciente;Sim;Sim;Direita;Atrasado
348;Consciente;Sim;Nao;Frente;Atrasado
349;Consciente;Sim;Sim;Frente;Atrasado
350;Consciente;Sim;Sim;Frente;Esperado
351;Consciente;Sim;Nao;Frente;Precipitado
352;Consciente;Sim;Sim;Atras;Precipitado
353;Consciente;Sim;Nao;Atras;Atrasado
354;Consciente;Sim;Sim;Atras;Precipitado
355;Consciente;Sim;Nao;Atras;Esperado
356;Consciente;Sim;Nao;Esquerda;Atrasado
358;Inconsciente;Sim;Sim;Esquerda;Perigoso
359;Inconsciente;Sim;Sim;Esquerda;Perigoso
360;Inconsciente;Sim;Nao;Esquerda;Perigoso
361;Inconsciente;Sim;Nao;Direita;Atrasado
362;Inconsciente;Sim;Sim;Direita;Perigoso
363;Consciente;Nao;Sim;Esquerda;Atrasado
364;Consciente;Nao;Nao;Direita;Arriscado
365;Consciente;Nao;Nao;Atras;Esperado
366;Consciente;Nao;Nao;Atras;Esperado
367;Consciente;Nao;Sim;Direita;Arriscado
368;Consciente;Nao;Sim;Esquerda;Atrasado
369;Consciente;Nao;Sim;Direita;Arriscado
370;Consciente;Nao;Sim;Atras;Esperado
371;Consciente;Nao;Nao;Esquerda;Atrasado
372;Consciente;Nao;Sim;Frente;Precipitado
373;Consciente;Nao;Nao;Frente;Precipitado
374;Consciente;Nao;Nao;Frente;Precipitado
375;Consciente;Nao;Sim;Frente;Precipitado
376;Consciente;Nao;Sim;Atras;Precipitado
377;Consciente;Nao;Nao;Esquerda;Atrasado
378;Inconsciente;Nao;Nao;Direita;Atrasado
379;Consciente;Sim;Nao;Frente;Esperado
380;Consciente;Sim;Sim;Direita;Esperado
381;Consciente;Sim;Sim;Atras;Esperado
382;Consciente;Sim;Sim;Atras;Precipitado
383;Consciente;Sim;Sim;Direita;Esperado
384;Consciente;Sim;Nao;Atras;Esperado
385;Consciente;Sim;Nao;Direita;Arriscado
386;Consciente;Sim;Sim;Frente;Precipitado
388;Inconsciente;Sim;Nao;Direita;Perigoso
389;Inconsciente;Sim;Sim;Frente;Perigoso
390;Inconsciente;Sim;Nao;Frente;Atrasado
391;Inconsciente;Sim;Nao;Atras;Atrasado
392;Inconsciente;Sim;Nao;Esquerda;Atrasado
393;Inconsciente;Sim;Nao;Esquerda;Atrasado
394;Inconsciente;Sim;Sim;Esquerda;Perigoso
395;Consciente;Sim;Sim;Atras;Esperado
396;Consciente;Sim;Nao;Frente;Esperado
397;Consciente;Sim;Sim;Frente;Precipitado
398;Consciente;Sim;Nao;Atras;Arriscado
399;Consciente;Sim;Sim;Frente;Precipitado
400;Consciente;Sim;Nao;Frente;Esperado
401;Consciente;Sim;Sim;Atras;Precipitado
402;Consciente;Sim;Nao;Atras;Arriscado
403;Consciente;Sim;Nao;Esquerda;Atrasado
404;Consciente;Sim;Sim;Esquerda;Esperado
405;Consciente;Sim;Sim;Esquerda;Arriscado
406;Consciente;Sim;Sim;Direita;Esperado
407;Consciente;Sim;Sim;Direita;Esperado
408;Inconsciente;Sim;Nao;Esquerda;Atrasado
409;Inconsciente;Sim;Nao;Direita;Arriscado
410;Inconsciente;Sim;Nao;Direita;Arriscado
411;Consciente;Nao;Sim;Esquerda;Arriscado
412;Consciente;Nao;Nao;Esquerda;Atrasado
413;Consciente;Nao;Nao;Direita;Precipitado
414;Consciente;Nao;Sim;Direita;Precipitado
415;Consciente;Nao;Sim;Direita;Esperado
416;Consciente;Nao;Sim;Atras;Esperado
417;Consciente;Nao;Sim;Esquerda;Atrasado
418;Consciente;Nao;Sim;Frente;Precipitado
419;Consciente;Nao;Sim;Frente;Precipitado
420;Consciente;Nao;Nao;Frente;Precipitado
421;Consciente;Nao;Nao;Atras;Esperado
422;Consciente;Nao;Sim;Atras;Precipitado
423;Consciente;Nao;Nao;Atras;Esperado
424;Consciente;Nao;Nao;Esquerda;Atrasado
425;Inconsciente;Nao;Nao;Frente;Perigoso
426;Inconsciente;Nao;Nao;Direita;Atrasado
427;Consciente;Sim;Sim;Frente;Arriscado
429;Consciente;Sim;Nao;Atras;Arriscado
430;Consciente;Sim;Sim;Direita;Precipitado
431;Consciente;Sim;Sim;Esquerda;Atrasado
432;Consciente;Sim;Nao;Esquerda;Atrasado
433;Consciente;Sim;Sim;Atras;Esperado
434;Consciente;Sim;Nao;Esquerda;Atrasado
435;Consciente;Sim;Sim;Direita;Esperado
437;Inconsciente;Sim;Nao;Atras;Perigoso
438;Inconsciente;Sim;Nao;Frente;Perigoso
439;Inconsciente;Sim;Sim;Frente;Perigoso
440;Inconsciente;Sim;Nao;Direita;Atrasado
441;Inconsciente;Sim;Nao;Frente;Perigoso
442;Inconsciente;Sim;Sim;Atras;Perigoso
443;Consciente;Sim;Sim;Frente;Atrasado
444;Consciente;Sim;Sim;Direita;Arriscado
445;Consciente;Sim;Nao;Direita;Arriscado
446;Consciente;Sim;Sim;Frente;Arriscado
447;Consciente;Sim;Sim;Direita;Arriscado
448;Consciente;Sim;Sim;Esquerda;Arriscado
449;Consciente;Sim;Nao;Direita;Esperado
450;Consciente;Sim;Nao;Frente;Arriscado
451;Consciente;Sim;Nao;Frente;Atrasado
452;Consciente;Sim;Sim;Atras;Arriscado
453;Consciente;Sim;Sim;Atras;Arriscado
454;Consciente;Sim;Nao;Atras;Arriscado
455;Consciente;Sim;Nao;Atras;Arriscado
456;Consciente;Sim;Sim;Esquerda;Atrasado
457;Consciente;Sim;Nao;Esquerda;Arriscado
458;Consciente;Sim;Nao;Esquerda;Atrasado
459;Consciente;Nao;Nao;Frente;Perigoso
460;Consciente;Nao;Sim;Esquerda;Perigoso
461;Consciente;Nao;Nao;Esquerda;Perigoso
462;Consciente;Nao;Nao;Atras;Perigoso
463;Consciente;Nao;Nao;Direita;Arriscado
464;Consciente;Nao;Sim;Direita;Perigoso
465;Consciente;Nao;Sim;Frente;Perigoso
466;Consciente;Nao;Sim;Atras;Atrasado
467;Consciente;Nao;Nao;Esquerda;Atrasado
468;Consciente;Nao;Nao;Atras;Atrasado
469;Consciente;Nao;Sim;Esquerda;Atrasado
470;Consciente;Nao;Sim;Frente;Perigoso
471;Consciente;Nao;Nao;Frente;Perigoso
472;Consciente;Nao;Sim;Atras;Atrasado
473;Consciente;Nao;Sim;Direita;Perigoso
474;Consciente;Nao;Nao;Direita;Arriscado
475;Consciente;Sim;Sim;Atras;Esperado
476;Consciente;Sim;Sim;Esquerda;Esperado
477;Consciente;Sim;Nao;Esquerda;Precipitado
478;Consciente;Sim;Nao;Esquerda;Precipitado
479;Consciente;Sim;Nao;Frente;Precipitado
481;Consciente;Sim;Sim;Frente;Perigoso
483;Consciente;Sim;Nao;Atras;Perigoso
484;Consciente;Sim;Sim;Atras;Perigoso
485;Consciente;Sim;Sim;Direita;Perigoso
486;Consciente;Sim;Sim;Esquerda;Arriscado
488;Inconsciente;Sim;Sim;Frente;Perigoso
489;Consciente;Nao;Sim;Esquerda;Atrasado
490;Consciente;Nao;Sim;Frente;Esperado
491;Consciente;Nao;Sim;Frente;Esperado
492;Consciente;Nao;Nao;Frente;Esperado
493;Consciente;Nao;Nao;Atras;Esperado
494;Consciente;Nao;Nao;Frente;Esperado
495;Consciente;Nao;Sim;Atras;Precipitado
496;Consciente;Nao;Nao;Atras;Precipitado
497;Consciente;Nao;Sim;Atras;Precipitado
498;Consciente;Nao;Sim;Esquerda;Atrasado
499;Consciente;Nao;Nao;Esquerda;Atrasado
500;Consciente;Nao;Nao;Esquerda;Atrasado
501;Consciente;Nao;Nao;Direita;Arriscado
502;Consciente;Nao;Sim;Direita;Perigoso
503;Consciente;Nao;Sim;Direita;Atrasado
504;Consciente;Nao;Nao;Direita;Arriscado
505;Consciente;Sim;Sim;Frente;Esperado
506;Consciente;Sim;Nao;Frente;Esperado
507;Consciente;Sim;Nao;Frente;Esperado
508;Consciente;Sim;Sim;Esquerda;Arriscado
509;Consciente;Sim;Sim;Frente;Esperado
510;Consciente;Sim;Sim;Atras;Esperado
511;Consciente;Sim;Sim;Atras;Esperado
512;Consciente;Sim;Nao;Atras;Arriscado
513;Consciente;Sim;Nao;Atras;Esperado
514;Consciente;Sim;Nao;Esquerda;Atrasado
515;Consciente;Sim;Sim;Esquerda;Arriscado
516;Consciente;Sim;Nao;Esquerda;Arriscado
517;Consciente;Sim;Sim;Direita;Arriscado
518;Consciente;Sim;Sim;Direita;Esperado
519;Consciente;Sim;Nao;Direita;Arriscado
520;Consciente;Sim;Nao;Direita;Arriscado
521;Consciente;Sim;Sim;Frente;Arriscado
522;Consciente;Sim;Sim;Frente;Esperado
523;Consciente;Sim;Nao;Esquerda;Perigoso
524;Consciente;Sim;Nao;Frente;Arriscado
525;Consciente;Sim;Nao;Frente;Esperado
526;Consciente;Sim;Nao;Atras;Arriscado
527;Consciente;Sim;Sim;Atras;Arriscado
528;Consciente;Sim;Nao;Atras;Arriscado
529;Consciente;Sim;Sim;Atras;Precipitado
530;Consciente;Sim;Nao;Esquerda;Atrasado
531;Consciente;Sim;Sim;Esquerda;Arriscado
532;Consciente;Sim;Sim;Esquerda;Atrasado
533;Consciente;Sim;Sim;Direita;Atrasado
534;Consciente;Sim;Nao;Direita;Arriscado
535;Consciente;Sim;Sim;Direita;Atrasado
536;Consciente;Sim;Nao;Direita;Arriscado
550;Consciente;Sim;Nao;Atras;Atrasado
551;Consciente;Sim;Nao;Frente;Atrasado
552;Consciente;Sim;Nao;Frente;Arriscado
553;Consciente;Sim;Sim;Frente;Atrasado
554;Consciente;Sim;Sim;Atras;Atrasado
555;Consciente;Sim;Nao;Atras;Arriscado
556;Consciente;Sim;Sim;Atras;Arriscado
