	Aware	AppDistraction	CarSound	CarDirection
301	Aware	Yes	On	Back
302	Aware	Yes	On	Right
303	Aware	Yes	Off	Back
304	Aware	Yes	On	Front
305	Aware	Yes	On	Front
306	Aware	Yes	Off	Front
307	Aware	Yes	Off	Front
308	Aware	Yes	Off	Left
309	Aware	Yes	On	Left
310	Aware	Yes	Off	Left
311	Aware	Yes	On	Left
312	Aware	Yes	Off	Right
313	Aware	Yes	Off	Right
314	Aware	Yes	On	Right
315	Aware	Yes	On	Back
316	Aware	Yes	On	Right
317	Aware	Yes	On	Right
318	Aware	Yes	Off	Back
319	Aware	Yes	Off	Left
320	Aware	Yes	Off	Back
321	Aware	Yes	On	Front
322	Aware	Yes	Off	Right
323	Aware	Yes	Off	Left
324	Aware	Yes	Off	Right
325	Aware	Yes	Off	Front
326	Aware	Yes	Off	Front
327	Aware	Yes	On	Front
328	Aware	Yes	On	Back
329	Aware	Yes	On	Left
330	Aware	Yes	On	Left
331	Aware	No	On	Right
332	Aware	No	On	Back
333	Aware	No	Off	Front
334	Aware	No	Off	Back
335	Aware	No	Off	Left
336	Aware	No	On	Back
337	Aware	No	On	Left
338	Aware	No	Off	Back
339	Aware	No	On	Front
340	Aware	No	Off	Front
341	Aware	No	On	Front
342	Aware	No	Off	Left
343	Aware	No	On	Left
344	Aware	No	Off	Right
345	Aware	No	Off	Right
346	Aware	No	On	Right
347	Aware	Yes	On	Right
348	Aware	Yes	Off	Front
349	Aware	Yes	On	Front
350	Aware	Yes	On	Front
351	Aware	Yes	Off	Front
352	Aware	Yes	On	Back
353	Aware	Yes	Off	Back
354	Aware	Yes	On	Back
355	Aware	Yes	Off	Back
356	Aware	Yes	Off	Left
358	Unaware	Yes	On	Left
359	Unaware	Yes	On	Left
360	Unaware	Yes	Off	Left
361	Unaware	Yes	Off	Right
362	Unaware	Yes	On	Right
363	Aware	No	On	Left
364	Aware	No	Off	Right
365	Aware	No	Off	Back
366	Aware	No	Off	Back
367	Aware	No	On	Right
368	Aware	No	On	Left
369	Aware	No	On	Right
370	Aware	No	On	Back
371	Aware	No	Off	Left
372	Aware	No	On	Front
373	Aware	No	Off	Front
374	Aware	No	Off	Front
375	Aware	No	On	Front
376	Aware	No	On	Back
377	Aware	No	Off	Left
378	Unaware	No	Off	Right
379	Aware	Yes	Off	Front
380	Aware	Yes	On	Right
381	Aware	Yes	On	Back
382	Aware	Yes	On	Back
383	Aware	Yes	On	Right
384	Aware	Yes	Off	Back
385	Aware	Yes	Off	Right
386	Aware	Yes	On	Front
388	Unaware	Yes	Off	Right
389	Unaware	Yes	On	Front
390	Unaware	Yes	Off	Front
391	Unaware	Yes	Off	Back
392	Unaware	Yes	Off	Left
393	Unaware	Yes	Off	Left
394	Unaware	Yes	On	Left
395	Aware	Yes	On	Back
396	Aware	Yes	Off	Front
397	Aware	Yes	On	Front
398	Aware	Yes	Off	Back
399	Aware	Yes	On	Front
400	Aware	Yes	Off	Front
401	Aware	Yes	On	Back
402	Aware	Yes	Off	Back
403	Aware	Yes	Off	Left
404	Aware	Yes	On	Left
405	Aware	Yes	On	Left
406	Aware	Yes	On	Right
407	Aware	Yes	On	Right
408	Unaware	Yes	Off	Left
409	Unaware	Yes	Off	Right
410	Unaware	Yes	Off	Right
411	Aware	No	On	Left
412	Aware	No	Off	Left
413	Aware	No	Off	Right
414	Aware	No	On	Right
415	Aware	No	On	Right
416	Aware	No	On	Back
417	Aware	No	On	Left
418	Aware	No	On	Front
419	Aware	No	On	Front
420	Aware	No	Off	Front
421	Aware	No	Off	Back
422	Aware	No	On	Back
423	Aware	No	Off	Back
424	Aware	No	Off	Left
425	Unaware	No	Off	Front
426	Unaware	No	Off	Right
427	Aware	Yes	On	Front
428	Aware	Yes	Off	Right
429	Aware	Yes	Off	Back
430	Aware	Yes	On	Right
431	Aware	Yes	On	Left
432	Aware	Yes	Off	Left
433	Aware	Yes	On	Back
434	Aware	Yes	Off	Left
435	Aware	Yes	On	Right
437	Unaware	Yes	Off	Back
438	Unaware	Yes	Off	Front
439	Unaware	Yes	On	Front
440	Unaware	Yes	Off	Right
441	Unaware	Yes	Off	Front
442	Unaware	Yes	On	Back
443	Aware	Yes	On	Front
444	Aware	Yes	On	Right
445	Aware	Yes	Off	Right
446	Aware	Yes	On	Front
447	Aware	Yes	On	Right
448	Aware	Yes	On	Left
449	Aware	Yes	Off	Right
450	Aware	Yes	Off	Front
451	Aware	Yes	Off	Front
452	Aware	Yes	On	Back
453	Aware	Yes	On	Back
454	Aware	Yes	Off	Back
455	Aware	Yes	Off	Back
456	Aware	Yes	On	Left
457	Aware	Yes	Off	Left
458	Aware	Yes	Off	Left
459	Aware	No	Off	Front
460	Aware	No	On	Left
461	Aware	No	Off	Left
462	Aware	No	Off	Back
463	Aware	No	Off	Right
464	Aware	No	On	Right
465	Aware	No	On	Front
466	Aware	No	On	Back
467	Aware	No	Off	Left
468	Aware	No	Off	Back
469	Aware	No	On	Left
470	Aware	No	On	Front
471	Aware	No	Off	Front
472	Aware	No	On	Back
473	Aware	No	On	Right
474	Aware	No	Off	Right
475	Aware	Yes	On	Back
476	Aware	Yes	On	Left
477	Aware	Yes	Off	Left
478	Aware	Yes	Off	Left
479	Aware	Yes	Off	Front
480	Aware	Yes	Off	Front
481	Aware	Yes	On	Front
482	Aware	Yes	Off	Back
483	Aware	Yes	Off	Back
484	Aware	Yes	On	Back
485	Aware	Yes	On	Right
486	Aware	Yes	On	Left
488	Unaware	Yes	On	Front
489	Aware	No	On	Left
490	Aware	No	On	Front
491	Aware	No	On	Front
492	Aware	No	Off	Front
493	Aware	No	Off	Back
494	Aware	No	Off	Front
495	Aware	No	On	Back
496	Aware	No	Off	Back
497	Aware	No	On	Back
498	Aware	No	On	Left
499	Aware	No	Off	Left
500	Aware	No	Off	Left
501	Aware	No	Off	Right
502	Aware	No	On	Right
503	Aware	No	On	Right
504	Aware	No	Off	Right
505	Aware	Yes	On	Front
506	Aware	Yes	Off	Front
507	Aware	Yes	Off	Front
508	Aware	Yes	On	Left
509	Aware	Yes	On	Front
510	Aware	Yes	On	Back
511	Aware	Yes	On	Back
